targetYear,QLD,NSW,VIC,TAS,SA
2025,0.0,0.040945112448117785,0.0,0.0,0.0
2026,0.0,1.2350368846165434,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0
2028,0.06963003497316289,2.1048340273455834,0.0,0.0,0.0
2029,1.1120012653209683,23.48471556748255,1.6299567553230663,0.0,0.0
2030,141.16084581352405,51.97293504568556,24.026814418516796,0.0,14.91815632164632
2031,2056.9582717475805,132.74785658027213,92.45796600290542,0.0,0.21018094579014143
2032,6738.995693367223,338.6363552512693,3.114884528579815,0.0,0.0
2033,9108.432741432718,175.3257891524072,17.505237805131166,0.0,0.0
2034,10684.582981671536,99.38089589411113,1332.3548339890845,0.0,29.78064798709286
2035,11870.809353798426,352.03665275368246,5229.946616156548,0.06924241869703573,388.2251512948772
